date,day_of_year,month,actual_wh,direct_point_wh,direct_q10_wh,mc_mean_point_wh,mc_p10_point_wh,mc_p50_point_wh,mc_p90_point_wh,mc_mean_q10_wh,mc_p50_q10_wh,analog_unique_days
2021-07-15,196,7,89254.0,88225.046875,53370.140625,79746.24670019532,43325.29296875,83507.4453125,110105.9375,50578.10451806641,47824.326171875,191
2021-07-16,197,7,96472.0,92407.375,58032.35546875,80028.89184082032,40899.227343750004,84475.921875,110105.9375,50540.094641601565,47229.26953125,191
2021-07-17,198,7,53427.0,57731.09375,27673.072265625,78609.73905566406,39066.59375,82819.4140625,108529.09375,49384.49889208985,46143.2890625,189
2021-07-18,199,7,86191.0,84397.453125,48481.45703125,80596.89528613281,40987.89453125,85871.4453125,109279.6328125,51644.14029248047,50380.609375,189
2021-07-19,200,7,59739.0,71457.9375,33530.48046875,78802.40986328125,38116.6875,84475.921875,110163.98984375001,50786.19032128906,48419.3828125,187
2021-07-20,201,7,85453.0,96278.15625,59826.58203125,79861.36318945313,43325.29296875,85517.4296875,109279.6328125,50928.7694899292,49896.94921875,186
2021-07-21,202,7,46776.0,63519.05859375,28055.078125,77232.74599414063,36362.540625,81098.3359375,109279.6328125,49128.81489904785,45903.171875,186
2021-07-22,203,7,97335.0,94030.09375,57897.11328125,78613.15815722656,40987.89453125,85034.2421875,107689.546875,49800.6778387146,47189.43359375,183
2021-07-23,204,7,97573.0,90746.296875,56750.48046875,79697.32708691407,40899.227343750004,84475.921875,108519.03125,51021.75357971191,49793.9921875,184
2021-07-24,205,7,102811.0,101913.796875,70364.96875,79635.62398535156,39066.59375,84755.08203125,109279.6328125,51193.43382882691,48928.359375,182
2021-07-25,206,7,73139.0,74193.3828125,41162.2421875,79901.62407128906,40101.22265625,84475.921875,109590.3828125,52021.822317108155,50371.484375,181
2021-07-26,207,7,93509.0,90806.890625,57317.76171875,80353.65656054688,43325.29296875,85034.2421875,108519.03125,51452.60196102905,50380.609375,179
2021-07-27,208,7,91362.0,82168.2578125,44091.53515625,78433.57891210937,39066.59375,82819.4140625,108519.03125,50304.15591824341,48673.87109375,179
2021-07-28,209,7,53761.0,61254.62109375,28211.501953125,80547.10252148437,39066.59375,85517.4296875,109723.78125,52732.363341003416,50371.484375,179
2021-07-29,210,7,80157.0,81428.28125,43641.33203125,80818.73203027344,38116.6875,85871.4453125,108482.84375,52684.556426483156,50554.42578125,177
2021-07-30,211,7,113514.0,105130.3515625,80396.8359375,80460.46709082031,38116.6875,85871.4453125,108482.84375,52381.30794213867,50550.8046875,176
2021-07-31,212,7,77145.0,81566.1953125,46614.70703125,81185.25948828126,43362.39453125,85871.4453125,109279.6328125,53215.55316320801,50667.1875,176
2021-08-01,213,8,48084.0,49563.734375,28406.060546875,80423.36132714844,44257.3515625,85034.2421875,108595.09140625002,52560.91889334106,50610.806640625,174
2021-08-02,214,8,56791.0,71187.46875,34895.53515625,80357.96400878906,40987.89453125,85720.09375,108482.84375,53010.3458414917,50667.1875,173
2021-08-03,215,8,76285.0,79624.578125,42018.765625,81971.75331347657,43362.39453125,86896.0546875,109723.78125,54550.13872338867,51503.8984375,173
2021-08-04,216,8,89782.0,85556.34375,49103.53515625,81273.86731835938,46816.27734375,85034.2421875,108043.5765625,53106.67469250488,50550.8046875,172
2021-08-05,217,8,78598.0,78525.3671875,47942.91015625,81485.87429589844,47304.26953125,85034.2421875,108366.2265625,53391.88556790161,50554.42578125,172
2021-08-06,218,8,54157.0,58300.6484375,30808.515625,80442.55759765625,44050.06484375002,85224.9453125,108482.84375,52776.20824624634,50547.18359375,171
2021-08-07,219,8,80277.0,76313.5078125,39846.57421875,81377.9774453125,44064.62187500002,85964.5546875,108007.7265625,54052.68968862915,51523.94921875,170
2021-08-08,220,8,54062.0,75271.7578125,36170.71875,80540.33331738281,46816.27734375,83857.9765625,108482.84375,53101.86280923462,48944.796875,170
2021-08-09,221,8,87805.0,85519.90625,59104.26171875,81367.71073925782,47958.63671875,83857.9765625,108366.2265625,53503.994554351804,50371.484375,172
2021-08-10,222,8,59366.0,65519.94140625,31989.8359375,80299.23804492188,44556.03125,82819.4140625,108007.7265625,52897.71102850342,49858.59765625,171
2021-08-11,223,8,95868.0,93253.4765625,51230.9765625,79351.86620996094,44406.48046875,81449.6640625,108007.7265625,51968.28479849243,48419.3828125,171
