simulation,annual_point_wh,annual_q10_wh,annual_point_kwh,annual_q10_kwh
0,19456715.80908203,12182078.40273285,19456.71580908203,12182.07840273285
1,19443682.948364258,12286360.88491559,19443.682948364258,12286.36088491559
2,18568967.66784668,11562911.458633423,18568.96766784668,11562.911458633424
3,20354371.22607422,13104298.885231018,20354.371226074218,13104.298885231017
4,19500022.84423828,12179670.063720703,19500.02284423828,12179.670063720703
5,19276617.87438965,12096235.145412445,19276.61787438965,12096.235145412445
6,20839910.328918457,13517881.220466614,20839.910328918457,13517.881220466614
7,19460970.85095215,12580494.874407291,19460.970850952148,12580.494874407292
8,20067115.955078125,12533056.39289093,20067.115955078127,12533.05639289093
9,19836886.889404297,12628107.862823486,19836.886889404297,12628.107862823486
10,18780790.746948242,11939687.119094849,18780.79074694824,11939.687119094848
11,19665099.673034668,12426550.065315247,19665.099673034667,12426.550065315247
12,20000736.442260742,12422136.742736816,20000.736442260742,12422.136742736817
13,18704049.547851562,11650823.606048584,18704.049547851562,11650.823606048583
14,19098917.6673584,11728753.905992985,19098.917667358397,11728.753905992984
15,19694529.799804688,12528756.502803802,19694.529799804688,12528.756502803803
16,19541788.526611328,12223171.163467407,19541.78852661133,12223.171163467407
17,18457352.040893555,11357416.986038208,18457.352040893555,11357.416986038208
18,19823008.007080078,12443354.940255404,19823.00800708008,12443.354940255404
19,18889939.298339844,11823330.25579834,18889.939298339843,11823.33025579834
20,18945991.422851562,11715926.905228853,18945.991422851563,11715.926905228853
21,19800557.86328125,12544875.42660141,19800.55786328125,12544.87542660141
22,18813095.78643799,12004839.61598587,18813.09578643799,12004.839615985871
23,19504930.977905273,12398861.289342165,19504.930977905275,12398.861289342165
24,19241371.005126953,12027840.093139648,19241.37100512695,12027.840093139648
25,19791717.614196777,12655055.955291748,19791.717614196776,12655.055955291748
26,19641818.63623047,12587190.264667511,19641.81863623047,12587.190264667512
27,19199543.091430664,12194255.613105774,19199.543091430663,12194.255613105774
28,20034973.16583252,12542025.595184326,20034.973165832518,12542.025595184326
29,20101643.0670166,13092961.684951782,20101.6430670166,13092.961684951782
30,20486861.079589844,13396748.380917788,20486.861079589842,13396.748380917788
31,20418490.23095703,13267614.129567385,20418.49023095703,13267.614129567384
32,19397606.717285156,12269876.081665039,19397.606717285154,12269.87608166504
33,19046481.10913086,12127225.063976288,19046.48110913086,12127.225063976288
34,19234514.228271484,12210682.054656982,19234.514228271484,12210.682054656982
35,18960369.80102539,11724423.455108643,18960.36980102539,11724.423455108643
36,18948195.68811035,11996164.901504517,18948.19568811035,11996.164901504517
37,19470310.30908203,12318197.380096436,19470.31030908203,12318.197380096435
38,18466018.51965332,11642273.133022308,18466.01851965332,11642.273133022309
39,19887940.900390625,12553918.87812543,19887.940900390626,12553.918878125429
40,19718014.13635254,12650076.510406494,19718.01413635254,12650.076510406494
41,19079840.0814209,11915900.506515503,19079.840081420898,11915.900506515503
42,20003754.32446289,12825572.65233612,20003.75432446289,12825.57265233612
43,18281798.717163086,11430841.76521039,18281.798717163085,11430.84176521039
44,18694033.91442871,11692871.95880127,18694.03391442871,11692.87195880127
45,19883721.553100586,12686376.94351697,19883.721553100586,12686.376943516969
46,19369108.58935547,12176230.958409548,19369.10858935547,12176.230958409547
47,20328350.100830078,13072717.679393768,20328.350100830077,13072.717679393769
48,18749578.165893555,11899560.175884247,18749.578165893556,11899.560175884248
49,18211359.912597656,10972659.481868744,18211.359912597658,10972.659481868744
50,19001120.584960938,11955883.125484467,19001.120584960936,11955.883125484466
51,18166331.444091797,11063658.260555267,18166.331444091797,11063.658260555267
52,19527385.407714844,12506264.393066406,19527.385407714843,12506.264393066407
53,19942009.96130371,12734690.254943848,19942.00996130371,12734.690254943847
54,19870306.564941406,12572186.279129028,19870.306564941406,12572.186279129028
55,19366658.795898438,12390068.28050232,19366.65879589844,12390.068280502319
56,19334004.041015625,12087797.333557129,19334.004041015625,12087.79733355713
57,19056425.44140625,11854834.096496582,19056.42544140625,11854.834096496583
58,19849392.356933594,12796282.905593872,19849.392356933593,12796.282905593873
59,18590159.94165039,11723204.044628143,18590.159941650392,11723.204044628143
60,18495678.496826172,11475048.148170471,18495.67849682617,11475.048148170472
61,19858246.839050293,12545170.693855286,19858.246839050295,12545.170693855285
62,19704012.11755371,12447793.355827332,19704.01211755371,12447.79335582733
63,19275001.50390625,12289889.118919373,19275.00150390625,12289.889118919373
64,19484880.013793945,12261302.601287842,19484.880013793947,12261.302601287842
65,19396691.89440918,12270086.323303223,19396.69189440918,12270.086323303223
66,20237066.87261963,12989438.985581636,20237.066872619627,12989.438985581637
67,20200385.42034912,12808094.461891174,20200.38542034912,12808.094461891174
68,19761391.55041504,12571341.692771912,19761.39155041504,12571.341692771912
69,20117016.991455078,12990741.52003479,20117.01699145508,12990.74152003479
70,19366472.288146973,12297186.265892029,19366.47228814697,12297.186265892029
71,19470053.623535156,12212977.442158937,19470.053623535157,12212.977442158937
72,19106872.345214844,12252901.427223206,19106.872345214844,12252.901427223205
73,19353155.926635742,12036367.548454285,19353.155926635744,12036.367548454285
74,18687807.838134766,11803602.941757202,18687.807838134766,11803.602941757203
75,19530591.493530273,12199227.698394775,19530.59149353027,12199.227698394776
76,18951282.243652344,11822793.19715619,18951.282243652342,11822.79319715619
77,19853324.439697266,12354923.736751556,19853.324439697266,12354.923736751556
78,20569319.295654297,13362421.048721313,20569.319295654295,13362.421048721313
79,19098564.325195312,12185843.524539948,19098.56432519531,12185.843524539947
80,19368923.577392578,12041121.093475342,19368.92357739258,12041.121093475342
81,19740399.237426758,12634613.324077606,19740.39923742676,12634.613324077607
82,19362003.513916016,12501706.72875595,19362.003513916017,12501.706728755951
83,19516821.915649414,12280747.974576235,19516.821915649412,12280.747974576236
84,19226456.685302734,12277582.87270093,19226.456685302735,12277.58287270093
85,19754523.505615234,12364578.54914856,19754.523505615234,12364.57854914856
86,18736490.84375,11628752.19373703,18736.49084375,11628.75219373703
87,19380284.50830078,12270788.23513794,19380.28450830078,12270.78823513794
88,19222566.7578125,11977014.11541748,19222.5667578125,11977.01411541748
89,19075310.286865234,11781707.928967714,19075.310286865235,11781.707928967715
90,19229774.341674805,12209036.157039642,19229.774341674805,12209.036157039642
91,19411795.73376465,12250919.540257692,19411.795733764648,12250.919540257692
92,18899451.564208984,11900490.218808413,18899.451564208983,11900.490218808412
93,18935260.338623047,11855266.22782135,18935.260338623048,11855.26622782135
94,19600078.35510254,12483297.781049013,19600.078355102538,12483.297781049014
95,19420128.79309082,12285738.168029785,19420.128793090822,12285.738168029786
96,19476097.123046875,12474492.681454897,19476.097123046875,12474.492681454896
97,18514205.444091797,11511242.744247437,18514.205444091796,11511.242744247436
98,18812560.322631836,11754271.872825623,18812.560322631834,11754.271872825622
99,19729610.47717285,12766278.537994385,19729.610477172853,12766.278537994385
100,20484728.564453125,12766054.867248535,20484.728564453126,12766.054867248535
101,20101043.325195312,12720649.042984009,20101.04332519531,12720.649042984009
102,19501450.13305664,12622998.912460327,19501.45013305664,12622.998912460327
103,19069802.774414062,12333511.2628479,19069.802774414064,12333.5112628479
104,19710441.43762207,12632190.417660952,19710.44143762207,12632.190417660951
105,19389985.013061523,12016336.298446655,19389.985013061523,12016.336298446655
106,19311244.43017578,11934823.186820984,19311.244430175782,11934.823186820984
107,20053496.5045166,12990287.528268099,20053.496504516603,12990.287528268098
108,19233715.294067383,12275266.276916504,19233.715294067384,12275.266276916504
109,19259081.674560547,12109176.635220766,19259.081674560548,12109.176635220767
110,19495551.84802246,12261057.98560834,19495.55184802246,12261.057985608339
111,19315801.381774902,12177169.527339935,19315.8013817749,12177.169527339935
112,19633331.66369629,12261770.129714966,19633.331663696288,12261.770129714965
