year_month,year,month,dominant_segment,train_rows,validation_rows,test_rows,metric_rows,mape,r2,rmse_wh,mae_wh,bias_wh,nrmse_observed_capacity_pct,actual_mean_wh,actual_p10_wh,actual_p50_wh,actual_p90_wh,prediction_mean_wh,clouds_all_mean,solar_elevation_mean_deg,ghi_roll_std_3h_mean
2017-01,2017,1,train,892,0,0,892,22.04392333934994,0.9486151890831086,181.9865402722218,89.38337994660085,-24.876052971942052,3.6252298859008327,571.2274644675838,40.20000000000002,272.5,1717.6999999999998,546.3514114956417,75.9237668161435,10.445441957471955,6.295703437866379
2017-02,2017,2,train,1013,0,0,1013,25.134512352805512,0.9453974669313663,255.91543824305973,139.78994430347115,-11.304910191190443,5.097917096475293,882.3968410661402,58.0,379.0,2906.4,871.0919308749498,75.34649555774926,15.74743685951121,10.717305650816156
2017-03,2017,3,train,1405,0,0,1405,32.621676883532416,0.9413976279439136,325.3470922544755,204.18048868026597,-30.292312716249892,6.4810177739935355,1255.764412811388,79.80000000000001,616.0,3655.6000000000013,1225.472100095138,74.7017793594306,22.100829802725187,15.828549675879529
2017-04,2017,4,train,1611,0,0,1611,32.57246891329418,0.9062928239377137,363.1204935263081,229.36922855383858,-6.316156383666247,7.233475966659523,1138.7833643699566,85.0,640.0,3114.0,1132.4672079862903,68.71011793916821,28.366703447593935,19.005299225899044
2017-05,2017,5,train,1867,0,0,1867,18.287824345492147,0.9653222113732987,249.918834989971,154.18584177611535,-21.700200266357918,4.978462848405798,1404.6946973754686,80.0,880.0,3720.0000000000005,1382.9944971091109,61.925013390465985,32.14916756611096,20.356999924699746
2017-06,2017,6,train,1898,0,0,1898,20.053320358706415,0.9629353143179248,249.25523430939256,164.02754579692908,-23.81241301929596,4.965243711342481,1327.1701791359326,92.70000000000002,761.5,3507.6,1303.3577661166366,72.20600632244468,34.51950470366542,22.149625966322795
2017-07,2017,7,train,1935,0,0,1935,24.33036421923079,0.9350184126086701,297.35401536559596,192.01703572682362,-10.589586376737639,5.923386760270835,1168.2341085271319,82.80000000000001,698.0,3154.8,1157.644522150394,68.66304909560724,33.44409998455354,20.929009678598764
2017-08,2017,8,train,1693,0,0,1693,24.19357739771418,0.9180059948479973,361.47491529146157,238.70323282342935,-29.56827950611385,7.200695523734295,1415.766686355582,98.40000000000003,993.0,3420.6,1386.198406849468,61.02421736562315,29.97430458162177,20.862301507226114
2017-09,2017,9,train,1439,0,0,1439,29.54745851955609,0.9103072110732461,342.12499101666896,224.70279325620427,-15.66711787667185,6.8152388648738835,1146.157748436414,90.0,679.0,3101.4,1130.4906305597424,74.94093120222377,24.519999780594848,15.972312285171862
2017-10,2017,10,train,1138,0,0,1138,37.42745739486706,0.8717024626974135,352.4149036613303,215.77006264897767,-37.8158424017928,7.0202172044089695,883.2144112478031,61.7,456.0,2524.2000000000003,845.3985688460103,72.01318101933217,17.99744261497714,11.626967783173534
