month,day,time,tou,contractKw,loadKw,pvKw,netP10Kw,netP50Kw,netP90Kw,deterministicGridKw,deterministicChargeKw,deterministicDischargeKw,deterministicSoc,robustGridKw,robustChargeKw,robustDischargeKw,robustSoc
1,1,00:00,off,500.0,13.68,0.0,12.64,16.06,394.62,13.68,0.0,0.0,50.0,13.68,0.0,0.0,50.0
1,1,00:15,off,500.0,12.68,0.0,12.89,16.12,236.72,12.68,0.0,0.0,50.0,12.68,0.0,0.0,50.0
1,1,00:30,off,500.0,16.0,0.0,12.87,16.26,404.85,16.0,0.0,0.0,50.0,16.0,0.0,0.0,50.0
1,1,00:45,off,500.0,12.96,0.0,12.8,16.26,308.07,12.96,0.0,0.0,50.0,12.96,0.0,0.0,50.0
1,1,01:00,off,500.0,13.24,0.0,13.2,16.06,398.23,13.24,0.0,0.0,50.0,13.24,0.0,0.0,50.0
1,1,01:15,off,500.0,15.28,0.0,12.96,16.42,311.4,15.28,0.0,0.0,50.0,15.28,0.0,0.0,50.0
1,1,01:30,off,500.0,13.12,0.0,13.05,16.2,116.53,13.12,0.0,0.0,50.0,13.12,0.0,0.0,50.0
1,1,01:45,off,500.0,14.4,0.0,12.87,16.2,63.13,14.4,0.0,0.0,50.0,14.4,0.0,0.0,50.0
1,1,02:00,off,500.0,14.4,0.0,12.87,16.34,62.34,14.4,0.0,0.0,50.0,14.4,0.0,0.0,50.0
1,1,02:15,off,500.0,13.12,0.0,13.0,15.56,58.57,13.12,0.0,0.0,50.0,13.12,0.0,0.0,50.0
1,1,02:30,off,500.0,15.12,0.0,13.03,16.34,56.22,15.12,0.0,0.0,50.0,15.12,0.0,0.0,50.0
1,1,02:45,off,500.0,13.84,0.0,13.38,19.08,54.98,13.84,0.0,0.0,50.0,13.84,0.0,0.0,50.0
1,1,03:00,off,500.0,12.96,0.0,13.14,17.5,48.54,12.96,0.0,0.0,50.0,12.96,0.0,0.0,50.0
1,1,03:15,off,500.0,15.84,0.0,13.27,15.56,49.98,15.84,0.0,0.0,50.0,15.84,0.0,0.0,50.0
1,1,03:30,off,500.0,13.24,0.0,13.05,16.2,56.15,13.24,0.0,0.0,50.0,13.24,0.0,0.0,50.0
1,1,03:45,off,500.0,13.24,0.0,13.14,16.56,47.48,13.24,0.0,0.0,50.0,13.24,0.0,0.0,50.0
1,1,04:00,off,500.0,15.56,0.0,13.02,14.04,52.08,15.56,0.0,0.0,50.0,15.56,0.0,0.0,50.0
1,1,04:15,off,500.0,13.12,0.0,13.0,14.18,53.92,86.8,73.68,0.0,54.37,13.12,0.0,0.0,50.0
1,1,04:30,off,500.0,14.24,0.0,12.72,15.7,42.69,14.24,0.0,0.0,54.37,14.24,0.0,0.0,50.0
1,1,04:45,off,500.0,14.96,0.0,12.84,15.2,55.24,14.96,0.0,0.0,54.37,14.96,0.0,0.0,50.0
1,1,05:00,off,500.0,13.24,0.0,12.99,15.98,52.29,213.24,200.0,0.0,66.25,13.24,0.0,0.0,50.0
1,1,05:15,off,500.0,14.24,0.0,12.7,15.26,45.08,14.24,0.0,0.0,66.25,214.24,200.0,0.0,61.88
1,1,05:30,off,500.0,14.24,0.0,12.84,15.32,55.53,214.24,200.0,0.0,78.12,214.24,200.0,0.0,73.75
1,1,05:45,off,500.0,13.12,0.0,12.7,16.14,51.0,213.12,200.0,0.0,90.0,213.12,200.0,0.0,85.62
1,1,06:00,semi,450.0,15.12,0.0,13.35,15.12,44.72,15.12,0.0,0.0,90.0,15.12,0.0,0.0,85.62
1,1,06:15,semi,450.0,13.4,0.0,13.12,16.34,55.6,13.4,0.0,0.0,90.0,13.4,0.0,0.0,85.62
1,1,06:30,semi,450.0,12.96,0.0,12.77,15.42,52.53,12.96,0.0,0.0,90.0,12.96,0.0,0.0,85.62
1,1,06:45,semi,450.0,15.56,0.0,6.95,14.92,44.77,15.56,0.0,0.0,90.0,15.56,0.0,0.0,85.62
1,1,07:00,semi,450.0,13.24,0.0,-10.94,13.7,51.32,13.24,0.0,0.0,90.0,13.24,0.0,0.0,85.62
1,1,07:15,semi,450.0,13.12,0.0,-36.21,13.32,45.88,13.12,0.0,0.0,90.0,13.12,0.0,0.0,85.62
1,1,07:30,semi,450.0,15.4,0.0,-66.39,13.48,37.94,15.4,0.0,0.0,90.0,15.4,0.0,0.0,85.62
1,1,07:45,semi,450.0,12.8,0.0,-86.19,15.69,55.84,12.8,0.0,0.0,90.0,12.8,0.0,0.0,85.62
1,1,08:00,semi,450.0,13.24,0.34,-90.9,15.7,44.42,12.9,0.0,0.0,90.0,12.9,0.0,0.0,85.62
1,1,08:15,semi,450.0,15.12,2.24,-114.85,133.35,219.12,12.88,0.0,0.0,90.0,6.32,0.0,6.56,85.19
1,1,08:30,semi,450.0,13.12,2.99,-117.17,212.99,462.02,10.13,0.0,0.0,90.0,0.0,0.0,10.13,84.53
1,1,08:45,semi,450.0,13.96,4.15,-153.1,237.54,466.93,9.81,0.0,0.0,90.0,0.0,0.0,9.81,83.88
1,1,09:00,semi,450.0,15.56,4.42,-152.14,221.21,359.07,11.14,0.0,0.0,90.0,0.0,0.0,11.14,83.15
1,1,09:15,semi,450.0,14.4,5.64,-181.21,235.92,430.23,0.0,0.0,8.76,89.42,0.0,0.0,8.76,82.57
1,1,09:30,semi,450.0,16.12,4.69,-201.33,220.41,494.33,0.0,0.0,11.43,88.67,0.0,0.0,11.43,81.82
1,1,09:45,semi,450.0,15.68,6.66,-198.98,190.08,458.68,0.0,0.0,9.02,88.08,0.0,0.0,9.02,81.23
1,1,10:00,semi,450.0,14.56,9.38,-228.1,226.74,469.55,0.0,0.0,5.18,87.74,0.0,0.0,5.18,80.89
