month,label,allGridCost,pvOnlyCost,deterministicCost,robustCost,savingsVsGrid,deterministicPeakKw,robustPeakKw,deterministicOverEvents,robustOverEvents,pvUtilization
1,1月,622258.0,598698.0,598038.0,598361.0,23897.0,707.5,696.0,179,140,85.5
2,2月,481915.0,449279.0,449972.0,484815.0,-2900.0,675.9,675.4,48,42,56.3
3,3月,462519.0,378749.0,376447.0,376798.0,85721.0,596.1,636.4,21,21,73.1
4,4月,439489.0,335673.0,333917.0,335219.0,104270.0,519.1,519.1,8,6,75.8
5,5月,474221.0,340789.0,336979.0,350135.0,124086.0,571.0,540.4,13,15,66.2
6,6月,586206.0,470249.0,458666.0,460677.0,125529.0,508.1,499.1,19,21,63.9
7,7月,594975.0,461067.0,433514.0,449561.0,145414.0,554.6,475.0,14,14,78.7
8,8月,513643.0,407659.0,394491.0,395723.0,117920.0,524.0,524.0,21,22,64.9
9,9月,455977.0,381689.0,377494.0,380233.0,75744.0,542.9,541.4,20,20,65.3
10,10月,522252.0,468431.0,461983.0,464222.0,58030.0,538.4,650.7,35,31,82.1
11,11月,481571.0,443751.0,445380.0,445907.0,35664.0,702.5,698.8,42,31,91.2
12,12月,343767.0,328850.0,324780.0,332825.0,10942.0,666.2,706.7,23,10,88.7
